"Manufacturer Name","Abbreviation","Email","Last Item Import","Division","City","ST","Zip","Phone"
"Airhead","ARHD","jbaker@heliooutdoors.com","1781197458008","","Denver","CO","80239","5566331112"
"Aqua Divers","AQAD","IJAMES@USDIVERS.COM","1784231676700","","Carlsbad","CA","92008","7604195503"
"Boss Play Inc","BPIK","BossPlayKerrie@gmail.com","1784066823102","","Miami","FL","33176","5419449776"
"Caribbean Waterworks","CARI","rob@caribbeanwaterworks.com","","","Auburndale","FL","33823","8639679782"
"dba Edgewood Puzzle","EDGE","gapirolo@gmail.com","1778254821514","","Edgewood","WA","98372","2535696282"
"FREDS SWIM ACADEMY USA Inc","FSAU","usa@swimtrainer.com","","","San Diego","CA","92104","16194305766"
"Lionel, LLC","LION","jlapsley@lionel.com","1783020436768","","Concord","NC","28027","7044544264"
"Masterpieces Puzzle Company","MAST","orders@masterpiecesinc.com","1783543405262","","Oro Valley","AZ","85755","5207411315"
"OVVEL INC.","OVVL","sales@ovvel.com","1770837303276","","Brooklyn","NY","11219","3477314197"
"Premier Investments","PREM","daniel@speed26.com","1781561643287","","Hallandale","FL","33009","7868621444"
"Rico Italia USA","RICO","gpirolo@ricoitalia-usa.com","","","Edgewood","WA","98372","2535696282"
"Sat 1 Sport","SAT1","","-1","","Plymouth","MI","48170","8006532719"
"Silver Circle Products","SILC","support@silvercircleproducts.com","1736437266023","","Hallandale","FL","33008","9549524266"
"The 3D Toy Store","3DTS","chris@the3dtoystore.com","1776436040583","","Indianapolis","IN","46227","3177604077"
"Uzzi","UZZI","holly@uzzi.com","","","Hallandale","FL","33009","9547779595"
"Water Sports, LLC","WATE","orders@streammachine.com","1749743764247","","North Aurora","IL","60542","6305529915"
